Sequence,Name,Frame In,Frame Out,Nb Frames,Description,FPS
SQ01,SHOT_0010_GUERLAIN_OI_AI_SHOT_02_FOREST,15,120,105,GUERLAIN_OI_AI_SHOT_02_FOREST.mov,25.0
SQ01,SHOT_0020_GUERLAIN_OI_AI_SHOT_03_FOREST,0,99,99,GUERLAIN_OI_AI_SHOT_03_FOREST.mov,25.0
SQ01,SHOT_0030_A006C012_241206VG,395,571,176,A006C012_241206VG.mxf,25.0
SQ01,SHOT_0040_A007C012_241206B9,626,817,191,A007C012_241206B9.mxf,25.0
SQ01,SHOT_0050_A007C018_241206QN,344,535,191,A007C018_241206QN.mxf,25.0
SQ01,SHOT_0060_A008C010_241206YR,3807,3932,125,A008C010_241206YR.mxf,25.0
SQ01,SHOT_0070_A008C003_2412065H,555,863,308,A008C003_2412065H.mxf,25.0
SQ01,SHOT_0080_A004C001_2412058N,2288,2359,71,A004C001_2412058N.mxf,25.0
SQ01,SHOT_0090_A004C002_2412051D,842,937,95,A004C002_2412051D.mxf,25.0
SQ01,SHOT_0100_A003C007_241205NV,7042,7180,138,A003C007_241205NV.mxf,25.0
SQ01,SHOT_0110_A009C002_241206P1,1289,1441,152,A009C002_241206P1.mxf,25.0
SQ01,SHOT_0120_Guerlain-OI_Shot8A_C008,305,381,76,Guerlain-OI_Shot8A_C008.cine,25.0
SQ01,SHOT_0130_Guerlain-OI_Shot9_C009,2519,2718,199,Guerlain-OI_Shot9_C009.cine,25.0
SQ01,SHOT_0140_Guerlain-OI_Shot9_C003,1934,2029,95,Guerlain-OI_Shot9_C003.cine,25.0
SQ01,SHOT_0150_Guerlain-OI_Shot11_C002,1487,1645,158,Guerlain-OI_Shot11_C002.cine,25.0
SQ01,SHOT_0160_Guerlain-OI_Shot9_C016,251,319,68,Guerlain-OI_Shot9_C016.cine,25.0
SQ01,SHOT_0170_Guerlain-OI_Shot11_C001,2167,2241,74,Guerlain-OI_Shot11_C001.cine,25.0
SQ01,SHOT_0180_B001C005_241206KB,18255,18506,251,B001C005_241206KB.mxf,25.0
SQ01,SHOT_0190_Guerlain-OI_Shot9_C007,2349,2411,62,Guerlain-OI_Shot9_C007.cine,25.0
SQ01,SHOT_0200_Guerlain-OI_Shot11_C002,2233,2285,52,Guerlain-OI_Shot11_C002.cine,25.0
SQ01,SHOT_0210_A004C002_2412051D,6752,6865,113,A004C002_2412051D.mxf,25.0
SQ01,SHOT_0220_A006C003_2412067U,335,529,194,A006C003_2412067U.mxf,25.0
SQ01,SHOT_0230_A009C007_2412062Y,9356,9439,83,A009C007_2412062Y.mxf,25.0
SQ01,SHOT_0240_A009C005_241206Z5,1108,1203,95,A009C005_241206Z5.mxf,25.0
SQ01,SHOT_0250_A001C035_241205WG,1376,1564,188,A001C035_241205WG.mxf,25.0
SQ01,SHOT_0260_A001C020_241205G2,250,438,188,A001C020_241205G2.mxf,25.0
SQ01,SHOT_0270_A001C024_2412051B,197,384,187,A001C024_2412051B.mxf,25.0
SQ01,SHOT_0280_A014_C003_0907VQ_001,245,407,162,A014_C003_0907VQ_001.R3D,25.0
SQ01,SHOT_0290_A015_C002_090722_001,505,575,70,A015_C002_090722_001.R3D,25.0
SQ01,SHOT_0300_A014_C003_0907VQ_001,914,990,76,A014_C003_0907VQ_001.R3D,25.0
SQ01,SHOT_0310__241023-OI 6G - MOOD-1-OK-BLANK,367,575,208,_241023-OI 6G - MOOD-1-OK-BLANK.mp4,23.976
SQ01,SHOT_0320_Guerlain_Imperale_Anim-Shot-1_18_DeMain_[0000-0150]_F0,17,124,107,Guerlain_Imperale_Anim-Shot-1_18_DeMain_[0000-0150]_F0.mov,30.0
SQ01,SHOT_0330_Guerlain_Imperale_Anim-Shot-17-1_ProRes,19,120,101,Guerlain_Imperale_Anim-Shot-17-1_ProRes.mov,30.0
